image_name,response,full_response
AD_7885.jpg,neutral,"neutral, The person's facial expression is calm with no strong indications of pronounced emotions such as joy, sadness, anger, or fear. The eyes and mouth are relaxed, conveying a sense of neutrality."
AD_7950.jpg,joy,"joy, The person is displaying a broad smile with visible teeth, and her eyes are slightly crinkled, suggesting a genuine expression of happiness or amusement."
AD_8268.jpg,neutral,"neutral, The person’s face is quite symmetrical and does not show strong indications of typical emotional markers such as raised eyebrows, furrowed brows, or a smile. The eyes are slightly narrowed, but there is no clear evidence of emotional expression that would indicate joy, sadness, anger, fear, disgust, or surprise. The overall facial expression appears calm and composed, suggesting a neutral emotional state."
AD_8397.jpg,surprise,"surprise, The person's eyes are wide open and their mouth is agape, which are common facial expressions associated with surprise. The eyebrows are raised, adding to the shocked or startled appearance."
AD_8432.jpg,surprise,"surprise, The person's eyes are wide open and the mouth is agape, which are typical indicators of surprise. The raised eyebrows also contribute to this expression, suggesting a reaction of astonishment or shock."
AD_8595.jpg,neutral,"neutral, The person's facial expression shows no strong emotion, with slight tension possibly visible in their mouth. Their eyes and eyebrows are relatively relaxed, contributing to a generally calm or impassive demeanor."
AD_9681.jpg,neutral,"neutral, The person shows a relatively calm facial expression without strong indications of any specific strong emotions such as anger, joy, or sadness. The features appear composed and there is no significant frowning, smile, or other expressive traits that usually accompany emotions like surprise or disgust."
AG_0011.jpg,neutral,"neutral, The person’s facial expression lacks strong emotional signs. The eyes are open and observing, the mouth is slightly closed without downturned corners, and the eyebrows are relaxed, suggesting a calm or neutral state. There are no significant indicators of emotions such as happiness, sadness, anger, or fear."
AG_0086.jpg,joy,"joy, The person appears to be smiling, which is a common expression of happiness or joy. His eyes are slightly squinted and the mouth is turned upwards, both of which are typical indicators of a joyful or amused state."
AG_0283.jpg,neutral,"neutral, The person appears to have a relaxed facial expression with no strong indicators of a specific emotion such as smiling, frowning, or widened eyes. The mouth is slightly open in a passive way, and the eyes are calmly looking toward the camera, which contributes to a generally neutral expression."
AG_0424.jpg,joy,"joy, The person appears to be smiling broadly, indicated by the upward curve of the lips and the visible teeth, which typically signifies happiness or joy. Additionally, the eyes seem relaxed and are slightly crinkled around the edges, which often accompanies a genuine smile."
AG_0666.jpg,neutral,"neutral, The person's facial expression appears impassive with no strong indicators of emotions such as happiness, sadness, or anger. The eyes and mouth are relaxed, contributing to an overall neutral expression."
AG_1314.jpg,neutral,"neutral, The person in the image has a facial expression that does not exhibit strong indicators of any specific emotion such as joy, sadness, anger, or fear. The face is calm with no significant frowning, smiling, or eyebrow-raising, making the expression appear neutral."
AG_1460.jpg,neutral,"neutral, The person in the image has a relaxed facial expression with no strong indicators of any intense emotions. His eyebrows are neutral, and his mouth is slightly downturned but not enough to suggest sadness or displeasure, leading to the interpretation of a neutral expression."
DC_0014.jpg,surprise,"surprise, The person's eyes are wide open and the eyebrows are raised, which are common facial expressions associated with surprise. Additionally, the slightly open mouth further supports the interpretation of surprise."
DC_0139.jpg,joy,"joy, The person appears to be smiling widely which indicates happiness or joy. Their eyes are also slightly squinted which commonly occurs when someone is genuinely smiling. The overall facial expression suggests a positive and joyful emotion."
DC_0272.jpg,surprise,"surprise, The person appears to have wide-open eyes and a slightly open mouth, which are common indicators of surprise. Their eyebrows are raised, further enhancing the expression typically associated with this emotion."
DC_0616.jpg,surprise,"surprise, The person has wide, open eyes and slightly raised eyebrows, which are typical indicators of surprise. The mouth is also open in a way that enhances the expression of being startled or shocked."
DC_0952.jpg,surprise,"surprise, The person appears to have wide eyes and an open mouth which are typical expressions associated with surprise or shock. The gaze directed straight towards the viewer and slightly raised eyebrows further suggest an expression of surprise."
DC_1317.jpg,surprise,"surprise, The person's eyes are wide open and the eyebrows are raised, which are both common facial expressions associated with surprise."
DC_1399.jpg,surprise,"surprise, The person's eyes are wide open and the eyebrows are raised, which are common indicators of surprise. The mouth slightly open in an unusual manner also adds to the expression of surprise."
HW_0006.jpg,neutral,"neutral, The person's facial expression is calm with no prominent display of emotions such as furrowed brows, smile, or frown. The eyes are relaxed and the mouth is slightly open without any curves or tension that would indicate another specific emotion."
HW_0068.jpg,joy,"joy, The person is showing a wide smile with visible teeth and their eyes are slightly crinkled in a typical expression of happiness or laughter. The overall facial expression portrays a sense of joy or amusement."
HW_0452.jpg,anger,"anger, The person's eyebrows are furrowed and eyes narrowed, which are typical facial cues for anger. The mouth is also tensed in a way that often accompanies this emotion."
HW_1612.jpg,neutral,"neutral, The person's facial expression doesn't strongly convey any of the specified intense emotions. The features are relatively relaxed, without strong indicators of happiness, sadness, anger, surprise, disgust, or fear."
HW_2057.jpg,surprise,"surprise, The person's eyes are wide open and his mouth is in an O shape, commonly associated with surprise or shock. The eyebrows are also raised, reinforcing this expression."
HW_2219.jpg,neutral,"neutral, The person's facial expression does not prominently display typical markers of the emotions listed such as raised eyebrows, tightened lips, or wide eyes that might indicate surprise, fear, joy, or another specific feeling. His expression appears relatively calm and unexpressive, which aligns with a neutral state."
HW_2478.jpg,neutral,"neutral, The person's facial expression is relaxed with a mild look of contentment or ease, showing neither clear signs of positive nor negative emotions. The eyebrows are not furrowed, and the mouth is in a neutral position, which typically does not convey a strong emotional state."
JG_0024.jpg,joy,"joy, The person appears to be smiling and shows visible signs of happiness around their eyes, commonly associated with joyous expressions. The open, relaxed mouth and the crinkles around the eyes further reinforce this appearance."
JG_0134.jpg,disgust,"disgust, The person appears to have a scrunched-up face, tightly closed eyes and a wrinkled nose, which are common facial expressions associated with disgust."
