image_name,response,full_response
AD_7885.jpg,neutral,"neutral, The person has a composed expression with relaxed facial features and no significant signs of any strong emotions such as happiness, anger, or sadness. The eyebrows are neutral, the eyes are calm, and the mouth is closed without any curvature, indicating a neutral emotional state."
AD_7950.jpg,joy,"joy, The person has a broad smile, bright eyes, and an overall expression that suggests happiness or amusement. These features typically indicate a joyful emotion."
AD_8268.jpg,disgust,"disgust, The person's facial expression is characterized by a strong frown, slightly narrowed eyes, and a wrinkled nose, which are common indicators of disgust."
AD_8397.jpg,surprise,"surprise, The person exhibits wide eyes and an open mouth, typical indicators of surprise. Her eyebrows are raised, and the overall expression suggests she is reacting to an unexpected event or information, aligning with characteristics of a surprised emotional state."
AD_8432.jpg,surprise,"surprise, The person's eyes are wide open and her mouth is agape, which are common facial expressions associated with surprise."
AD_8595.jpg,anger,"anger, The person appears to have a furrowed brow and a slight frown, which are facial expressions typically associated with anger or annoyance."
AD_9681.jpg,anger,"anger, The person has furrowed brows, a slight frown, and her lips are tightly pressed together, all of which commonly indicate feelings of anger."
AG_0011.jpg,neutral,"neutral, The person in the image has a relaxed facial expression with no strong indicators of specific emotions. The eyebrows are in a natural position, the eyes are open and calm, and the mouth is closed without any downturn or upturn, suggesting a state of emotional neutrality."
AG_0086.jpg,joy,"joy, The person appears to be smiling broadly with their teeth showing, and there is a general uplifting look in their eyes, which typically indicates happiness or joy."
AG_0283.jpg,surprise,"surprise, The person appears to have wide eyes and slightly open mouth, typical indicators of surprise. His eyebrows are raised, and his overall facial expression contributes to a look of unexpectedness or shock."
AG_0424.jpg,surprise,"surprise, The person has wide-open eyes and raised eyebrows, which are common facial expressions of surprise. His mouth is open as if he is shocked, supporting the interpretation of surprise."
AG_0666.jpg,disgust,"disgust, The person depicted shows classic signs of disgust such as a scrunched nose, raised upper lip, and a general expression of aversion, which often indicate a reaction of distaste or displeasure."
AG_1314.jpg,anger,"anger, The person's eyebrows are furrowed and pulled together, and his eyes are glaring intensely which typically indicates anger. Additionally, his lips are tightly pressed together, and his face shows signs of tension, all of which contribute to expressing this emotion."
AG_1460.jpg,neutral,"neutral, The person's expression is flat with minimal emotional display. His eyes and mouth show little to no signs of any specific emotion such as joy, sadness, anger, or surprise. The overall demeanor is calm and composed, fitting the criteria for a neutral facial expression."
