image_name,response,full_response
MatrixFaces1.jpg,joy,"Joy, Most individuals are displaying expressions that seem playful and smiling, suggesting a positive and joyful emotion."
MatrixFaces2.jpg,neutral,"neutral, The individuals mostly have expressions that are subdued or calm without clear signs of strong emotions like joy or anger."
MatrixFaces3.jpg,joy,"joy, The individuals are generally displaying smiles and open, engaged expressions."
MatrixFaces4.jpg,neutral,"neutral, Most individuals in the image display expressions that appear calm and unemotional."
MatrixFaces5.jpg,surprise,"surprise, Most of the individuals in the image have wide eyes and open mouths, typical indicators of surprise."
MatrixFaces6.jpg,neutral,"neutral, The group shows expressions that are mostly calm and composed, without strong indications of the other listed emotions."
MatrixFaces7.jpg,neutral,"neutral, The expressions on the faces mostly appear calm and composed without strong indications of any particular intense emotion."
MatrixFaces8.jpg,joy,"joy, Most individuals in the image are smiling or have expressions that typically signify happiness."
MatrixFaces9.jpg,joy,"joy, The individuals are displaying smiles and expressions that typically indicate happiness."
MatrixFaces10.jpg,surprise,"surprise, The majority of the individuals are exhibiting wide eyes and open mouths, which are typical indicators of surprise."
MatrixFaces11.jpg,neutral,"neutral, The expressions on the faces display a predominantly calm and composed appearance without evident strong emotions."
MatrixFaces12.jpg,neutral,"neutral, The overall facial expressions display little to no strong emotion."
MatrixFaces13.jpg,surprise,"surprise, The group displays exaggerated facial expressions such as wide eyes and open mouths which commonly indicate surprise."
MatrixFaces14.jpg,joy,"joy, Most individuals pictured are displaying broad smiles and appear to be laughing."
MatrixFaces15.jpg,joy,"joy, The expressions mostly show wide eyes and big smiles indicating happiness or joy."
MatrixFaces16.jpg,joy,"joy, The individuals are displaying smiles and expressions that suggest happiness or amusement."
MatrixFaces17.jpg,neutral,"neutral, The individuals appear to have calm and expressionless faces."
MatrixFaces18.jpg,joy,"joy, The individuals mostly display smiles and expressions that are typically associated with happiness or amusement."
MatrixFaces19.jpg,joy,"joy, The majority of the individuals display smiles and expressions that suggest happiness."
MatrixFaces20.jpg,neutral,"neutral, The individuals mostly have calm and unexpressive facial features."
