image_name,response,full_response
MatrixFaces1.jpg,joy,joy
MatrixFaces10.jpg,surprise,surprise
MatrixFaces11.jpg,neutral,neutral
MatrixFaces12.jpg,neutral,neutral
MatrixFaces13.jpg,surprise,surprise
MatrixFaces14.jpg,joy,joy
MatrixFaces15.jpg,joy,joy
MatrixFaces16.jpg,joy,joy
MatrixFaces17.jpg,neutral,neutral
MatrixFaces18.jpg,joy,joy
MatrixFaces19.jpg,joy,joy
MatrixFaces2.jpg,joy,joy
MatrixFaces20.jpg,neutral,neutral
MatrixFaces3.jpg,surprise,surprise
MatrixFaces4.jpg,neutral,neutral
MatrixFaces5.jpg,surprise,surprise
MatrixFaces6.jpg,joy,joy
MatrixFaces7.jpg,neutral,neutral
MatrixFaces8.jpg,joy,joy
MatrixFaces9.jpg,joy,joy
