image_name,response,full_response
AD_7885.jpg,neutral,"neutral, The person's expression lacks prominent features of emotions like joy, sadness, or anger. The facial muscles are relaxed, her eyes are simply open without significant widening or squinting, and her mouth is closed in a natural position without downturn or upturn. This indicates a neutral emotional state."
AD_7950.jpg,joy,"joy, The person's face shows signs typical of happiness or joy, such as a wide smile and slightly squinted eyes. The overall expression seems lively and cheerful, indicating a joyful emotion."
AD_8268.jpg,neutral,"neutral, The person's facial expression shows minimal emotion. Her eyes and mouth are relaxed, and there are no prominent expressions that indicate strong emotions such as anger, joy, disgust, or sadness. The overall calmness of her face suggests a neutral state."
AD_8397.jpg,surprise,"surprise, The person has wide open eyes and a slightly open mouth, which are common indicators of surprise. The expression appears to be one of unexpectedness or astonishment."
AD_8432.jpg,surprise,"surprise, The person's wide eyes and open mouth suggest a state of surprise or shock. This expression typically indicates an unexpected or astonishing event has occurred."
AD_8595.jpg,neutral,"neutral, The person's facial expression does not prominently display any strong indicators of emotions such as happiness, sadness, anger, surprise, disgust, fear, or others. Their facial features are relaxed without any considerable tension or exaggerated movements around the eyes or mouth, typically associated with specific emotions."
AD_9681.jpg,neutral,"neutral, The person appears to have a very calm and composed expression with no strong emotional indicators such as frowning, wide eyes, or a particular set of facial tension that would suggest specific emotions like anger, joy, or sadness. The eyebrows are slightly furrowed which can sometimes indicate confusion or concentration, but they are not significantly contorted to suggest a discernible emotion clearly."
AG_0011.jpg,neutral,"neutral, The person's facial expression displays no significant indicators of happiness, sadness, anger, surprise, or any other strong emotion. The eyes and mouth are relaxed, suggesting a calm or neutral state."
AG_0086.jpg,joy,"joy, The person has a wide smile which typically indicates happiness or joy; their eyes are slightly squinted which often happens when someone is smiling genuinely."
AG_0283.jpg,neutral,"neutral, The person's facial expression lacks strong indicators of emotions such as anger, joy, sadness, disgust, fear, or surprise. The face is calm with a subtle closed mouth, and the eyes are calm without significant widening or squinting which often accompany strong expressions of emotion. This leads to the interpretation of a neutral emotional state."
AG_0424.jpg,joy,"joy, The person is showing a broad smile, visible upper teeth, and a relaxed, cheerful expression, which generally indicates happiness or joy."
AG_0666.jpg,neutral,"neutral, The person's facial expression is calm and does not exhibit strong emotions such as anger, joy, or sadness. The eyebrows are relaxed and the mouth is slightly open without a frown or smile, suggesting a state of neutrality."
AG_1314.jpg,anger,"anger, The person appears to have a furrowed brow and slightly narrowed eyes, which commonly indicate feelings of anger or irritation."
AG_1460.jpg,neutral,"neutral, The individual's expression appears relatively calm and composed without any significant markers of strong emotions such as raised eyebrows, furrowed brows, or a smile. The eyes and mouth display a neutral alignment, typical for expressions that denote neither specific distress nor particular happiness. Thus, the overall appearance suggests a neutral emotional state."
DC_0014.jpg,surprise,"surprise, The person's eyes are wide open and his eyebrows are raised, which commonly indicate surprise. There is a noticeable alertness in his expression that aligns with a typical surprised reaction."
DC_0139.jpg,joy,"joy, The person appears to be smiling broadly with his teeth visible, and his eyes are slightly squinted, which commonly indicates happiness or amusement. The overall expression looks relaxed and cheerful, typical of someone experiencing joy."
DC_0272.jpg,surprise,"surprise, The person has wide-open eyes and raised eyebrows which are typical facial expressions indicating surprise."
DC_0616.jpg,disgust,"disgust, The person's facial expression shows a scrunched nose and downturned lips which are common indicators of the emotion of disgust. The forehead is also wrinkled, and the eyes are sharply narrowed, reinforcing this interpretation."
DC_0952.jpg,surprise,"surprise, The person in the image has wide open eyes and a slightly open mouth which are common facial expressions associated with surprise. The raised eyebrows and the overall openness of the face further support this interpretation of the emotion."
DC_1317.jpg,surprise,"surprise, The person has wide-open eyes and slightly raised eyebrows, which typically indicate a state of surprise or shock. The facial expression doesn’t show signs of anger, sadness, or joy but rather an unexpected or astonishing reaction."
DC_1399.jpg,surprise,"surprise, The person has wide-open eyes and raised eyebrows, which are typical indicators of surprise. The mouth is also slightly open, reinforcing the expression of being caught off guard or astonished. The overall facial expression and the orientation of the face (upside down) add to the unusual and surprising element of the image."
HW_0006.jpg,neutral,"neutral, The person in the image has an expression with minimal to undetectable emotional cues. There is no substantial evidence of a smile, frown, or any exaggerated facial movement that typically accompanies emotions like joy, sadness, anger, or surprise."
HW_0068.jpg,joy,"joy, The person is smiling broadly which typically signifies happiness or joy. The eyes appear slightly squinted and the eyebrows are relaxed, which are common indicators of genuine pleasure or amusement."
HW_0452.jpg,anger,"anger, The person appears to have a furrowed brow and narrowed eyes, which are common facial expressions associated with anger. The mouth is slightly downturned and the overall facial expression seems tense, supporting the interpretation of anger."
HW_1612.jpg,neutral,"neutral, The person's expression does not show clear signs of any intense emotion such as anger, joy, sadness, or fear. The facial features such as the brow and mouth position are relatively relaxed, suggesting a neutral emotional state."
HW_2057.jpg,surprise,"surprise, The person's eyes are wide open and his mouth is agape, which are common facial expressions associated with surprise. The eyebrows are raised and the overall expression indicates a momentary reaction, typical of being surprised."
HW_2219.jpg,neutral,"neutral, The person in the image displays a relatively calm facial expression with no strong indicators of specific emotions like happiness, sadness, anger, or fear. The eyes are open and alert, the mouth is slightly downturned without clear signs of frowning or smiling, and the overall expression is relatively flat."
HW_2478.jpg,neutral,"neutral, The person's facial expression does not display strong indicators of emotions like anger, surprise, disgust, joy, fear, or sadness. The eyebrows and mouth are in a relaxed position, which typically corresponds with a neutral emotional state."
JG_0024.jpg,joy,"joy, The person is displaying a broad smile and his eyes are slightly squinted, features commonly associated with happiness or amusement. The expression suggests he is experiencing a positive emotion, indicating joy."
JG_0134.jpg,disgust,"disgust, The person's facial expression, characterized by a pronounced wrinkling of the nose and the lowering of the eyebrows in a frown, suggests an emotion of disgust or distaste."
