image_name,response,full_response
AD_7885.jpg,neutral,"neutral, The person is displaying a neutral expression as there are no significant indicators of emotions such as happiness, sadness, anger, or fear. The facial features are relaxed, and the mouth is set in a straight line without downturns or upturns. The eyes are open and looking directly at the camera without any signs of widening or squinting that might indicate surprise or disgust."
AD_7950.jpg,joy,"joy, The person in the image is displaying a broad smile with visible teeth, and her eyes are slightly crinkled which typically signifies the expression of joy."
AD_8268.jpg,disgust,"disgust, The person has a scrunched up nose and furrowed brows with tightened lips, which are common facial expressions associated with feeling disgusted."
AD_8397.jpg,surprise,"surprise, The person has wide-open eyes and a slightly open mouth, which are common facial expressions associated with surprise. The eyebrows are raised, and the overall expression indicates an unexpected event or shock."
AD_8432.jpg,surprise,"surprise, The person has wide-open eyes and a slightly dropped jaw, with raised eyebrows, which are common facial expressions for surprise. These features indicate an unexpected or astonishing event has likely captured her attention."
AD_8595.jpg,neutral,"neutral, The person's facial expression lacks strong emotional indicators. Her mouth is set in a straight line without downturned corners which might suggest sadness, or upturned which might indicate happiness. Her eyebrows are not furrowed or raised in a way that would typically signify anger or surprise."
AD_9681.jpg,anger,"anger, The person's eyebrows are furrowed, and her lips are tightly pressed together, which are typical facial expressions associated with anger."
AG_0011.jpg,neutral,"neutral, The person displays no strong emotional expressions; his facial muscles are relaxed, his mouth is closed without any curvature, and his eyes are calm without notable tension or widening, which typically indicates a neutral state."
AG_0086.jpg,joy,"joy, The person is displaying a broad smile, showing teeth, and has crinkles around his eyes which typically indicate genuine happiness or joy. His overall facial expression conveys a positive emotion."
AG_0283.jpg,surprise,"surprise, The person's wide eyes and raised eyebrows, accompanied by a slightly open mouth, typically indicate a state of surprise or shock. This facial expression can often be associated with an unexpected event or information catching someone off guard."
AG_0424.jpg,surprise,"surprise, The person has wide eyes, raised eyebrows, and a slightly open mouth, all of which are common indicators of surprise."
AG_0666.jpg,disgust,"disgust, The person appears to have a scrunched-up face with a slight frown and deeply furrowed brows, which are common indicators of disgust. His eyes are somewhat squinted, and there is a general expression of aversion, which supports the interpretation that he is experiencing disgust."
AG_1314.jpg,anger,"anger, The person appears to have furrowed brows, a frowning mouth, and an intense gaze which are common indicators of the emotion anger."
AG_1460.jpg,neutral,"neutral, The person's facial expression does not display strong indicators of emotions such as joy, sadness, anger, surprise, disgust, or fear. His expression is largely composed and his gaze is direct, with no significant frowning, smiling, or other facial movements that typically accompany more distinct emotions."
DC_0014.jpg,neutral,"neutral, The person's facial expression lacks strong emotional indicators; the mouth is closed in a relaxed manner, the eyes are neutral without noticeable tension, and the overall demeanor does not display signals commonly associated with emotions like joy, sadness, anger, or fear."
DC_0139.jpg,joy,"joy, The person is displaying a broad smile with visible teeth and has a slight crinkle around the eyes, which often indicates a genuine, joyful expression."
DC_0272.jpg,surprise,"surprise, The person appears to have wide-open eyes and a slightly open mouth, which are common facial expressions associated with surprise. The eyebrows are raised, and the overall facial expression conveys a sense of unexpectedness or astonishment."
DC_0616.jpg,disgust,"disgust, The person's facial expression shows signs typically associated with disgust, including a wrinkled nose, frowned eyebrows, and a slightly open mouth. These facial movements suggest an emotional response of revulsion or disapproval."
DC_0952.jpg,surprise,"surprise, The person appears to be expressing surprise as indicated by their wide-open eyes and mouth, along with a generally startled or shocked expression. This combination of facial features is typical for a reaction to unexpected or astonishing events."
DC_1317.jpg,anger,"anger, The person has a furrowed brow, narrowed eyes, and lips tightly pressed together, which are common facial expressions associated with anger."
DC_1399.jpg,neutral,"neutral, The person's face is displaying a lack of strong emotional expression. His mouth is slightly downturned, but not enough to suggest sadness, and his eyebrows are relaxed, which does not indicate anger, surprise, or fear. There are no visible cues of disgust or joy either, leading to the interpretation that his expression is neutral."
HW_0006.jpg,neutral,"neutral, The person's facial expression appears calm with no prominent indicators of strong emotions. The mouth is relaxed and the eyebrows are in a neutral position, not raised or furrowed significantly, which generally suggests a state of neutrality."
HW_0068.jpg,joy,"joy, The person appears to be smiling broadly with his eyes slightly crinkled in a way that suggests genuine happiness. The openness of his expression and the visible teeth are typical indicators of joy."
HW_0452.jpg,anger,"anger, The person's forehead is furrowed, and his eyebrows are deeply drawn together, creating a pronounced frown. His eyes are slightly squinted, and his mouth is turned downwards, which are typical facial cues associated with the emotion of anger."
HW_1612.jpg,anger,"anger, The person's facial expression, characterized by furrowed brows, frowning mouth, and intense eyes, suggests that they are experiencing anger."
HW_2057.jpg,surprise,"surprise, The person has wide eyes and an open mouth, common indicators of surprise. The eyebrows are raised, and the eyes are notably open, enhancing the expression of being startled or shocked."
HW_2219.jpg,surprise,"surprise, The person’s wide eyes and raised eyebrows are classic indicators of surprise. The slightly open mouth also typically signifies a moment of shock or unexpected discovery."
HW_2478.jpg,sadness,"sadness, The person's facial expression, characterized by slightly downturned lips and a furrowed brow, along with a generally somber gaze, suggests a feeling of sadness or distress. The eyes appear slightly watery, which can be a sign of sadness, and the overall expression does not convey joy, anger, or surprise."
JG_0024.jpg,joy,"joy, The person is displaying a wide smile with visible teeth, and their eyes appear to be lightly squinted which often accompanies genuine happiness or joy. The overall facial expression suggests a positive emotional state, typically associated with joy or amusement."
JG_0134.jpg,disgust,"disgust, The person's face is scrunched up, eyebrows are drawn inward and downward, and the eyes are narrowed slightly, which are common facial expressions associated with disgust."
JG_1226.jpg,neutral,"neutral, The person's expression is calm, featuring a relaxed set of facial features with no significant indicators of strong emotions such as raised eyebrows, frown lines, or a smile. The eyes and mouth are in a neutral position, which does not suggest any extreme emotions like joy, sadness, anger, disgust, fear, or surprise."
JG_1329.jpg,surprise,"surprise, The person's eyes are wide open, his mouth is agape, and his eyebrows are raised, which typically indicate a strong element of surprise or shock."
JG_1465.jpg,surprise,"surprise, The person has wide eyes and a slightly open mouth, which are common facial expressions associated with surprise. The eyebrows are raised, and the eyes are significantly widened, both of which typically indicate shock or astonishment."
JG_1632.jpg,neutral,"neutral, The person has a calm facial expression with no apparent signs of strong emotions. His mouth is closed, eyes are looking straight ahead, and the eyebrows are not furrowed or raised, which are indicators typically associated with a neutral emotional state."
JG_2291.jpg,disgust,"disgust, The person's facial expression is characterized by a frown and a wrinkled nose, common indicators of disgust or displeasure. The lips are pursed and the eyebrows are drawn together, which enhances the appearance of being repelled or disapproving."
JS_0008.jpg,neutral,"neutral, The person's facial expression does not display strong indicators of emotions such as happiness, sadness, anger, or fear. Her facial features are relaxed, and her brows are neither furrowed nor raised. Her mouth is closed in a natural position without any upturn or downturn that could suggest specific feelings. This lack of distinctive emotional cues typically suggests a neutral state."
JS_0281.jpg,joy,"joy, The person has a wide smile, lifted cheeks, and slightly squinted eyes, all of which are common indicators of happiness or joy."
JS_0449.jpg,surprise,"surprise, The person has wide eyes and an open mouth, common facial expressions associated with surprise or shock. This suggests that they are experiencing something unexpected."
JS_0744.jpg,disgust,"disgust, The person’s face is contorted in a way that typically signifies disgust. Her eyebrows are furrowed and the nose is wrinkled up, while the upper lip is raised, which is a common facial expression for showing disgust."
JS_1601.jpg,surprise,"surprise, The person appears to have wide-open eyes and a slightly open mouth, which are common facial indications of surprise. Their eyebrows are raised, which enhances the expression of being startled or shocked."
JS_2296.jpg,anger,"anger, The person has furrowed brows, slightly flared nostrils, and a frown, which are common facial expressions associated with anger."
JS_2987.jpg,sadness,"sadness, The person's expression is solemn with slightly downward turned corners of the mouth and her eyes lacking brightness, which generally suggests a feeling of sadness. The lack of any broad smile or other positive expression supports this interpretation."
KA_0003.jpg,neutral,"neutral, The person's facial expression does not display strong indicators of emotions such as joy, sadness, anger, fear, surprise, or disgust. The individual appears calm, with a relaxed facial posture and neutral eyes, suggesting an absence of a particular emotional state."
KA_0043.jpg,joy,"joy, The person is displaying a broad smile with exposed teeth and his eyes are slightly crinkled, which typically indicates happiness or joy."
KA_0535.jpg,disgust,"disgust, The person's facial expression includes a scrunched up nose and frowned eyebrows, with slightly downturned corners of the mouth, which commonly indicates a feeling of disgust."
KA_0884.jpg,surprise,"surprise, The person appears to have widened eyes and an open mouth, typical indicators of surprise. The raised eyebrows and fixed gaze also suggest an unexpected or astonishing situation."
KA_1134.jpg,surprise,"surprise, The person has wide eyes and a mouth open in a manner that typically indicates shock or surprise. The eyebrows are raised, and the overall expression is exaggerated, which is often associated with a sudden unexpected event or news."
KA_1616.jpg,anger,"anger, The person's eyebrows are lowered and drawn together, his eyes have a sharp gaze, and his lips are firmly set, which are typical facial expressions associated with anger or annoyance."
KA_2396.jpg,neutral,"neutral, The person's facial expression does not show strong emotional signals; the features appear calm without clear signs of engagement such as a smile, frown, or furrowed eyebrows, which aligns with a neutral emotional state."
